Title,Title_URI,Role,Name,Link,Credit,title_id
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Cinematography by,Ueli Steiger,https://www.imdb.com/name/nm0825336/?ref_=ttfc_fc_cr,director of photography,tt0443649
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Production Design by,Jean-Vincent Puzos,https://www.imdb.com/name/nm0701378/?ref_=ttfc_fc_cr,,tt0443649
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Casting By,Lissy Holm,https://www.imdb.com/name/nm2154115/?ref_=ttfc_fc_cr,(casting by),tt0443649
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Music by,Thomas Wanker,https://www.imdb.com/name/nm0911173/?ref_=ttfc_fc_cr,(as Thomas Wander) (music by),tt0443649
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Casting By,Mali Finn,https://www.imdb.com/name/nm0278139/?ref_=ttfc_fc_cr,(casting by),tt0443649
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Casting By,Leo Davis,https://www.imdb.com/name/nm0205023/?ref_=ttfc_fc_cr,(casting by),tt0443649
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Directed by,Roland Emmerich,https://www.imdb.com/name/nm0000386/?ref_=ttfc_fc_dr1,,tt0443649
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Writing Credits,Roland Emmerich,https://www.imdb.com/name/nm0000386/?ref_=ttfc_fc_wr1,(written by) &,tt0443649
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Costume Design by,Renée April,https://www.imdb.com/name/nm0032513/?ref_=ttfc_fc_cr,(as Renee April),tt0443649
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Sound Department,Chris Burdon,https://www.imdb.com/name/nm0121006/?ref_=ttfc_fc_cr,re-recording mixer,tt0443649
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Sound Department,Simon Gershon,https://www.imdb.com/name/nm0314852/?ref_=ttfc_fc_cr,supervising sound editor,tt0443649
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Sound Department,Jeremy Price,https://www.imdb.com/name/nm1038690/?ref_=ttfc_fc_cr,supervising sound editor,tt0443649
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Special Effects by,Dominic Tuohy,https://www.imdb.com/name/nm0876716/?ref_=ttfc_fc_cr,special effects supervisor,tt0443649
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Visual Effects by,Huseyin Caner,https://www.imdb.com/name/nm3698810/?ref_=ttfc_fc_cr,visual effects supervisor,tt0443649
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Visual Effects by,Jim Mitchell,https://www.imdb.com/name/nm0593437/?ref_=ttfc_fc_cr,visual effects supervisor,tt0443649
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Writing Credits,Harald Kloser,https://www.imdb.com/name/nm0460057/?ref_=ttfc_fc_wr2,(written by),tt0443649
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Music by,Harald Kloser,https://www.imdb.com/name/nm0460057/?ref_=ttfc_fc_cr,(music by),tt0443649
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Sound Department,Doug Cooper,https://www.imdb.com/name/nm1537681/?ref_=ttfc_fc_cr,re-recording mixer,tt0443649
"10,000 BC (2008)",https://www.imdb.com/title/tt0443649/fullcredits/,Costume Design by,Odile Dicks-Mireaux,https://www.imdb.com/name/nm0225606/?ref_=ttfc_fc_cr,,tt0443649
